query,len,len_bucket,wws_urls
aerogard odourless,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=aerogard%20odourless
beef cubes,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=beef%20cubes
heinz garl,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=heinz%20garl
ironing covers,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=ironing%20covers
edgell beetroo,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=edgell%20beetroo
bean heinz,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=bean%20heinz
thin pad,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=thin%20pad
marjorine,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=marjorine
defiance,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=defiance
soup instant,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=soup%20instant
lambs shanks,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=lambs%20shanks
garnier nutriss,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=garnier%20nutriss
tissues car,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=tissues%20car
quiche lor,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=quiche%20lor
flour tipo,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=flour%20tipo
talcum p,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=talcum%20p
veggs,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=veggs
trill millet,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=trill%20millet
fish capsule,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=fish%20capsule
mclaren val,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=mclaren%20val
beef tin,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=beef%20tin
espa,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=espa
odour eate,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=odour%20eate
coconut veg,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=coconut%20veg
irresistable chocolate,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=irresistable%20chocolate
knitting,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=knitting
walters nougat,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=walters%20nougat
colgate sensit,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=colgate%20sensit
grill rub,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=grill%20rub
parsons,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=parsons
gluten frozen,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=gluten%20frozen
colby ch,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=colby%20ch
sauce pan,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=sauce%20pan
movies,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=movies
maybelline blush,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=maybelline%20blush
bundaberg passionfruit,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=bundaberg%20passionfruit
ginger cake,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=ginger%20cake
garlic,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=garlic
herb garlic,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=herb%20garlic
sunbeam sultana,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=sunbeam%20sultana
streets cyclone,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=streets%20cyclone
cheddar shredded,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=cheddar%20shredded
moccona classics,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=moccona%20classics
dome,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=dome
traditional rolled,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=traditional%20rolled
pork meal,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=pork%20meal
dried soup,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=dried%20soup
onions b,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=onions%20b
massel v,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=massel%20v
beanies mnd,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=beanies%20mnd
spirits,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=spirits
sole ma,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=sole%20ma
irrewarra,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=irrewarra
antico,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=antico
