query,len,len_bucket,coles_cnt,wws_search_cnt,coles_url
thins lite tangy,3,2,1,1,https://www.coles.com.au/search?q=thins%20lite%20tangy
peanut butter sandwich,3,2,1,1,https://www.coles.com.au/search?q=peanut%20butter%20sandwich
domestos regular disinfectant,3,2,1,1,https://www.coles.com.au/search?q=domestos%20regular%20disinfectant
organic brown onions,3,2,1,1,https://www.coles.com.au/search?q=organic%20brown%20onions
birds eye chinese,3,2,1,1,https://www.coles.com.au/search?q=birds%20eye%20chinese
perfect italiano shaved,3,2,1,1,https://www.coles.com.au/search?q=perfect%20italiano%20shaved
mini scotch fingers,3,2,1,1,https://www.coles.com.au/search?q=mini%20scotch%20fingers
allens black cats,3,2,1,1,https://www.coles.com.au/search?q=allens%20black%20cats
tonic water diet,3,2,1,1,https://www.coles.com.au/search?q=tonic%20water%20diet
nivea irresistibly smooth,3,2,1,1,https://www.coles.com.au/search?q=nivea%20irresistibly%20smooth
hamburger buns pack,3,2,1,1,https://www.coles.com.au/search?q=hamburger%20buns%20pack
pattu black pep,3,2,1,1,https://www.coles.com.au/search?q=pattu%20black%20pep
clearasil gel wash,3,2,1,1,https://www.coles.com.au/search?q=clearasil%20gel%20wash
soy ginger tuna,3,2,1,1,https://www.coles.com.au/search?q=soy%20ginger%20tuna
coles kitchen san,3,2,1,1,https://www.coles.com.au/search?q=coles%20kitchen%20san
green cayenne chillies,3,2,1,1,https://www.coles.com.au/search?q=green%20cayenne%20chillies
maggi cottage pie,3,2,1,1,https://www.coles.com.au/search?q=maggi%20cottage%20pie
moist coconut flakes,3,2,1,1,https://www.coles.com.au/search?q=moist%20coconut%20flakes
honey soy maggi,3,2,1,1,https://www.coles.com.au/search?q=honey%20soy%20maggi
eden sesame bars,3,2,1,1,https://www.coles.com.au/search?q=eden%20sesame%20bars
liddell strawberry yoghurt,3,2,1,1,https://www.coles.com.au/search?q=liddell%20strawberry%20yoghurt
coco pop chex,3,2,1,1,https://www.coles.com.au/search?q=coco%20pop%20chex
coles southern thigh,3,2,1,1,https://www.coles.com.au/search?q=coles%20southern%20thigh
coles pastry flan,3,2,1,1,https://www.coles.com.au/search?q=coles%20pastry%20flan
coles pomlife fresh pomegranate arils,5,3,1,1,https://www.coles.com.au/search?q=coles%20pomlife%20fresh%20pomegranate%20arils
happy cookie and co,4,3,1,1,https://www.coles.com.au/search?q=happy%20cookie%20and%20co
dragon phoenix fried shallots,4,3,1,1,https://www.coles.com.au/search?q=dragon%20phoenix%20fried%20shallots
magnum dairy free almond,4,3,1,1,https://www.coles.com.au/search?q=magnum%20dairy%20free%20almond
wicked chocolate dipping sauce,4,3,1,1,https://www.coles.com.au/search?q=wicked%20chocolate%20dipping%20sauce
always fresh duck fat,4,3,1,1,https://www.coles.com.au/search?q=always%20fresh%20duck%20fat
